y,ux
0.000000000000000000e+00,-1.508772404057658375e-17
1.005025125628140805e-03,3.895543967942417113e-02
2.010050251256281610e-03,7.720829541104205773e-02
3.015075376884422415e-03,1.147585671948535141e-01
4.020100502512563220e-03,1.516062550308585888e-01
5.025125628140704459e-03,1.877513589190573373e-01
6.030150753768844830e-03,2.231938788594496903e-01
7.035175879396985202e-03,2.579338148520356477e-01
8.040201005025126441e-03,2.919711668968151819e-01
9.045226130653267679e-03,3.253059349937883482e-01
1.005025125628140892e-02,3.579385820808593244e-01
1.105527638190954842e-02,3.899239718877359762e-01
1.206030150753768966e-02,4.212954079323938950e-01
1.306532663316583090e-02,4.520528902148329142e-01
1.407035175879397040e-02,4.821964187350532005e-01
1.507537688442211164e-02,5.117259934930549203e-01
1.608040201005025288e-02,5.406416144888376296e-01
1.708542713567839239e-02,5.689432817224017169e-01
1.809045226130653536e-02,5.966309951937468492e-01
1.909547738693467486e-02,6.237047549028734705e-01
2.010050251256281784e-02,6.501659109452712082e-01
2.110552763819095734e-02,6.760711125897558293e-01
2.211055276381909684e-02,7.014457213900232579e-01
2.311557788944723982e-02,7.262897373460733830e-01
2.412060301507537932e-02,7.506031604579058714e-01
2.512562814070351883e-02,7.743859907255211672e-01
2.613065326633166180e-02,7.976382281489189374e-01
2.713567839195980130e-02,8.203598727280990710e-01
2.814070351758794081e-02,8.425509244630622341e-01
2.914572864321608378e-02,8.642113833538077605e-01
3.015075376884422328e-02,8.853438156395945224e-01
3.115577889447236626e-02,9.060038663410099335e-01
3.216080402010050576e-02,9.262092706979978551e-01
3.316582914572864527e-02,9.459600287105580652e-01
3.417085427135678477e-02,9.652561403786908967e-01
3.517587939698493121e-02,9.840976057023963497e-01
3.618090452261307072e-02,1.002484424681673980e+00
3.718592964824121022e-02,1.020416597316524454e+00
3.819095477386934973e-02,1.037894123606947439e+00
3.919597989949748923e-02,1.054917003552942711e+00
4.020100502512563567e-02,1.071488919763643910e+00
4.120603015075377518e-02,1.087659786979924714e+00
4.221105527638191468e-02,1.103440786040906563e+00
4.321608040201005418e-02,1.118831916946589011e+00
4.422110552763819369e-02,1.133833179696971616e+00
4.522613065326633319e-02,1.148444574292054599e+00
4.623115577889447964e-02,1.162666100731838625e+00
4.723618090452261914e-02,1.176497759016323030e+00
4.824120603015075864e-02,1.189939549145507813e+00
4.924623115577889815e-02,1.202991471119392752e+00
5.025125628140703765e-02,1.215657822573217972e+00
5.125628140703518409e-02,1.227978950663793478e+00
5.226130653266332360e-02,1.239961013617201457e+00
5.326633165829146310e-02,1.251604011433441688e+00
5.427135678391960261e-02,1.262907944112515057e+00
5.527638190954774211e-02,1.273872811654420456e+00
5.628140703517588161e-02,1.284498614059157884e+00
5.728643216080402806e-02,1.294785351326728451e+00
5.829145728643216756e-02,1.304733023457131713e+00
5.929648241206030707e-02,1.314341630450366782e+00
6.030150753768844657e-02,1.323615439292999074e+00
6.130653266331658607e-02,1.332583649831129646e+00
6.231155778894473252e-02,1.341248965279296268e+00
6.331658291457287202e-02,1.349611385637498273e+00
6.432160804020101152e-02,1.357670910905735440e+00
6.532663316582915103e-02,1.365427541084008656e+00
6.633165829145729053e-02,1.372881276172317255e+00
6.733668341708543004e-02,1.380032116170661460e+00
6.834170854271356954e-02,1.386880061079041493e+00
6.934673366834170904e-02,1.393425110897457131e+00
7.035175879396986243e-02,1.399670970587811869e+00
7.135678391959800193e-02,1.405636380476517511e+00
7.236180904522614143e-02,1.411321954008264878e+00
7.336683417085428094e-02,1.416727691183053750e+00
7.437185929648242044e-02,1.421853592000884126e+00
7.537688442211055995e-02,1.426699656461756005e+00
7.638190954773869945e-02,1.431265884565669833e+00
7.738693467336683895e-02,1.435552276312625164e+00
7.839195979899497846e-02,1.439558831702621999e+00
7.939698492462311796e-02,1.443285550735660339e+00
8.040201005025127134e-02,1.446735280066935081e+00
8.140703517587941085e-02,1.449918471703838030e+00
8.241206030150755035e-02,1.452834725097775781e+00
8.341708542713568986e-02,1.455484040248748112e+00
8.442211055276382936e-02,1.457866417156755467e+00
8.542713567839196886e-02,1.459981855821798069e+00
8.643216080402010837e-02,1.461830356243874807e+00
8.743718592964824787e-02,1.463411918422986790e+00
8.844221105527638738e-02,1.464726542359133354e+00
8.944723618090452688e-02,1.465774228052314943e+00
9.045226130653266639e-02,1.466556905882334672e+00
9.145728643216081977e-02,1.467079430662451278e+00
9.246231155778895927e-02,1.467341121806457593e+00
9.346733668341709877e-02,1.467341979314354061e+00
9.447236180904523828e-02,1.467082003186138461e+00
9.547738693467337778e-02,1.466561193421813236e+00
9.648241206030151729e-02,1.465779550021376609e+00
9.748743718592965679e-02,1.464737072984830135e+00
9.849246231155779630e-02,1.463433762312172037e+00
9.949748743718593580e-02,1.461869618003404536e+00
1.005025125628140753e-01,1.460045778286096718e+00
1.015075376884422148e-01,1.457963927735580922e+00
1.025125628140703682e-01,1.455623489649397140e+00
1.035175879396985077e-01,1.453024464027544704e+00
1.045226130653266472e-01,1.450166850870023394e+00
1.055276381909547867e-01,1.447050650176834097e+00
1.065326633165829262e-01,1.443675861947975703e+00
1.075376884422110657e-01,1.440042486183449100e+00
1.085427135678392052e-01,1.436150522883254066e+00
1.095477386934673447e-01,1.431999972047390157e+00
1.105527638190954842e-01,1.427591400413097844e+00
1.115577889447236237e-01,1.422925055212876932e+00
1.125628140703517632e-01,1.418000574445550832e+00
1.135678391959799166e-01,1.412817958111119099e+00
1.145728643216080561e-01,1.407377206209581288e+00
1.155778894472361956e-01,1.401678318740938511e+00
1.165829145728643351e-01,1.395721295705189657e+00
1.175879396984924746e-01,1.389506137102334726e+00
1.185929648241206141e-01,1.383032842932374606e+00
1.195979899497487536e-01,1.376301413195308410e+00
1.206030150753768931e-01,1.369312071260572417e+00
1.216080402010050326e-01,1.362064611529996139e+00
1.226130653266331721e-01,1.354558852305199457e+00
1.236180904522613255e-01,1.346794793586182148e+00
1.246231155778894650e-01,1.338772435372944658e+00
1.256281407035176045e-01,1.330491777665486319e+00
1.266331658291457440e-01,1.321952820463808242e+00
1.276381909547738835e-01,1.313155563767908873e+00
1.286432160804020230e-01,1.304100007577789766e+00
1.296482412060301626e-01,1.294786151893450254e+00
1.306532663316583021e-01,1.285214052394287210e+00
1.316582914572864416e-01,1.275383477751469874e+00
1.326633165829145811e-01,1.265294354365162688e+00
1.336683417085427206e-01,1.254946682235365207e+00
1.346733668341708601e-01,1.244340461362077876e+00
1.356783919597989996e-01,1.233475691745300251e+00
1.366834170854271391e-01,1.222352373385032553e+00
1.376884422110552786e-01,1.210970506281274783e+00
1.386934673366834181e-01,1.199330090434026719e+00
1.396984924623115853e-01,1.187431125843288582e+00
1.407035175879397249e-01,1.175273607426033928e+00
1.417085427135678644e-01,1.162857396903694829e+00
1.427135678391960039e-01,1.150182471540036833e+00
1.437185929648241434e-01,1.137248831335060162e+00
1.447236180904522829e-01,1.124056476288765039e+00
1.457286432160804224e-01,1.110605406401150796e+00
1.467336683417085619e-01,1.096895621672218102e+00
1.477386934673367014e-01,1.082927122101966511e+00
1.487437185929648409e-01,1.068699907690396467e+00
1.497487437185929804e-01,1.054213978437507526e+00
1.507537688442211199e-01,1.039469320787991702e+00
1.517587939698492594e-01,1.024465884218649370e+00
1.527638190954773989e-01,1.009203664739335427e+00
1.537688442211055384e-01,9.936826623500489841e-01
1.547738693467336779e-01,9.779028770507908197e-01
1.557788944723618174e-01,9.618643088415607112e-01
1.567839195979899569e-01,9.455669577223585476e-01
1.577889447236180964e-01,9.290108236931844399e-01
1.587939698492462359e-01,9.121959067540383881e-01
1.597989949748743754e-01,8.951222069049201702e-01
1.608040201005025427e-01,8.777897220347121721e-01
1.618090452261306822e-01,8.601984541763433301e-01
1.628140703517588217e-01,8.423484039075470609e-01
1.638190954773869612e-01,8.242395712283235865e-01
1.648241206030151007e-01,8.058719561386731289e-01
1.658291457286432402e-01,7.872455586385951332e-01
1.668341708542713797e-01,7.683603787280898212e-01
1.678391959798995192e-01,7.492164164071573040e-01
1.688442211055276587e-01,7.298136716757973597e-01
1.698492462311557982e-01,7.101521445340103211e-01
1.708542713567839377e-01,6.902318486996315006e-01
1.718592964824120772e-01,6.700528065841111491e-01
1.728643216080402167e-01,6.496150184997756538e-01
1.738693467336683562e-01,6.289184844466245705e-01
1.748743718592964957e-01,6.079632044246584544e-01
1.758793969849246352e-01,5.867491784338768612e-01
1.768844221105527748e-01,5.652764064742802352e-01
1.778894472361809143e-01,5.435448885458681323e-01
1.788944723618090538e-01,5.215546246486407744e-01
1.798994974874371933e-01,4.993056147825982727e-01
1.809045226130653328e-01,4.767978862550353858e-01
1.819095477386934723e-01,4.540314584677700438e-01
1.829145728643216395e-01,4.310063306853414433e-01
1.839195979899497790e-01,4.077225029077505281e-01
1.849246231155779185e-01,3.841799751349965764e-01
1.859296482412060580e-01,3.603787473670797548e-01
1.869346733668341975e-01,3.363188196039999522e-01
1.879396984924623371e-01,3.120001918457571688e-01
1.889447236180904766e-01,2.874228640923515155e-01
1.899497487437186161e-01,2.625868363437829367e-01
1.909547738693467556e-01,2.374921444792608416e-01
1.919597989949748951e-01,2.121387885886061309e-01
1.929648241206030346e-01,1.865267676573024169e-01
1.939698492462311741e-01,1.606560816853494500e-01
1.949748743718593136e-01,1.345267306727474244e-01
1.959798994974874531e-01,1.081387146194962290e-01
1.969849246231155926e-01,8.149203352559583613e-02
1.979899497487437321e-01,5.458668739104636375e-02
1.989949748743718716e-01,2.742267621584775980e-02
2.000000000000000111e-01,1.893702094311584178e-17
