y, ux
0.000000000000000000e+00,-7.752102429304504423e-18
2.000000000000000042e-03,7.586222555756971797e-02
4.000000000000000083e-03,1.489788446234037445e-01
6.000000000000000125e-03,2.193498571975021627e-01
8.000000000000000167e-03,2.869752632798650005e-01
1.000000000000000021e-02,3.518550628704922856e-01
1.200000000000000025e-02,4.141642239615050403e-01
1.400000000000000029e-02,4.740744086764244192e-01
1.600000000000000033e-02,5.315856170152499782e-01
1.800000000000000211e-02,5.866978489779819395e-01
2.000000000000000042e-02,6.394111045646200253e-01
2.199999999999999872e-02,6.898908804483960822e-01
2.400000000000000050e-02,7.382980823322797814e-01
2.600000000000000228e-02,7.846327102162713452e-01
2.800000000000000058e-02,8.288947641003705513e-01
2.999999999999999889e-02,8.710842439845770668e-01
3.200000000000000067e-02,9.113576534798828455e-01
3.400000000000000244e-02,9.498556276814044130e-01
3.600000000000000422e-02,9.865781665891421026e-01
3.799999999999999906e-02,1.021525270203095248e+00
4.000000000000000083e-02,1.054696938523264738e+00
4.200000000000000261e-02,1.086233823266044674e+00
4.399999999999999745e-02,1.116248244735186468e+00
4.599999999999999922e-02,1.144740202930689899e+00
4.800000000000000100e-02,1.171709697852554743e+00
5.000000000000000278e-02,1.197156729500781447e+00
5.200000000000000455e-02,1.221198205814315596e+00
5.399999999999999939e-02,1.243915097469681763e+00
5.600000000000000117e-02,1.265307404466880392e+00
5.800000000000000294e-02,1.285375126805910817e+00
5.999999999999999778e-02,1.304118264486773482e+00
6.199999999999999956e-02,1.321625312958613963e+00
6.400000000000000133e-02,1.337948314517074744e+00
6.600000000000000311e-02,1.353087269162154715e+00
6.800000000000000488e-02,1.367042176893854544e+00
7.000000000000000666e-02,1.379813037712174006e+00
7.200000000000000844e-02,1.391460079420656415e+00
7.399999999999999634e-02,1.402012574347865526e+00
7.599999999999999811e-02,1.411470522493801116e+00
7.799999999999999989e-02,1.419833923858463631e+00
8.000000000000000167e-02,1.427102778441852626e+00
8.200000000000000344e-02,1.433313338283936034e+00
8.400000000000000522e-02,1.438479530399597639e+00
8.600000000000000699e-02,1.442601354788837220e+00
8.799999999999999489e-02,1.445678811451654777e+00
8.999999999999999667e-02,1.447711900388050310e+00
9.199999999999999845e-02,1.448719409911509937e+00
9.400000000000000022e-02,1.448706522243053962e+00
9.600000000000000200e-02,1.447673237382682387e+00
9.800000000000000377e-02,1.445619555330395656e+00
1.000000000000000056e-01,1.442545476086193101e+00
1.020000000000000073e-01,1.438458934356891428e+00
1.040000000000000091e-01,1.433361040345809245e+00
1.059999999999999970e-01,1.427251794052946776e+00
1.079999999999999988e-01,1.420131195478303798e+00
1.100000000000000006e-01,1.411999244621880534e+00
1.120000000000000023e-01,1.402858244146763189e+00
1.140000000000000041e-01,1.392707896019176328e+00
1.160000000000000059e-01,1.381548200239120172e+00
1.180000000000000077e-01,1.369379156806594500e+00
1.199999999999999956e-01,1.356200765721599089e+00
1.219999999999999973e-01,1.342013023466908539e+00
1.239999999999999991e-01,1.326815416732421538e+00
1.260000000000000009e-01,1.310607945518138528e+00
1.280000000000000027e-01,1.293390609824059290e+00
1.300000000000000044e-01,1.275163409650183599e+00
1.320000000000000062e-01,1.255925739028960209e+00
1.340000000000000080e-01,1.235677247867198902e+00
1.360000000000000098e-01,1.214417936164899459e+00
1.380000000000000115e-01,1.192147803922062099e+00
1.400000000000000133e-01,1.168866851138686824e+00
1.420000000000000151e-01,1.144574538477514336e+00
1.440000000000000169e-01,1.119270717813545035e+00
1.459999999999999909e-01,1.092955389146780032e+00
1.479999999999999927e-01,1.065628552477218216e+00
1.499999999999999944e-01,1.037290207804859810e+00
1.519999999999999962e-01,1.007940041604085790e+00
1.539999999999999980e-01,9.775780502153786911e-01
1.559999999999999998e-01,9.462042336387384012e-01
1.580000000000000016e-01,9.138185918741648095e-01
1.600000000000000033e-01,8.804211249216578050e-01
1.620000000000000051e-01,8.460117160870211928e-01
1.640000000000000069e-01,8.105904414897343591e-01
1.660000000000000087e-01,7.741573011297973039e-01
1.680000000000000104e-01,7.367122950072101384e-01
1.700000000000000122e-01,6.982554231219726404e-01
1.720000000000000140e-01,6.587866947458694833e-01
1.740000000000000158e-01,6.183062134139597488e-01
1.759999999999999898e-01,5.768139791262442140e-01
1.779999999999999916e-01,5.343099918827217687e-01
1.799999999999999933e-01,4.907942516833928015e-01
1.819999999999999951e-01,4.462668284732295154e-01
1.839999999999999969e-01,4.007278126541531371e-01
1.859999999999999987e-01,3.541772042261635001e-01
1.880000000000000004e-01,3.066150031892606043e-01
1.900000000000000022e-01,2.580412095434445607e-01
1.920000000000000040e-01,2.084559026149519212e-01
1.940000000000000058e-01,1.578591281963611648e-01
1.960000000000000075e-01,1.062508862876722776e-01
1.980000000000000093e-01,5.363117688888519724e-02
2.000000000000000111e-01,-5.527084311394726231e-18
